TransactionId,CustomerId,Amount,TransactionStartTime,ProductCategory,FraudResult,Value
TXN_0,CUST_52,-181.39103723639283,2024-01-01 00:00:00,Food,0,181.39103723639283
TXN_1,CUST_93,403.55844343253034,2024-01-01 01:00:00,Clothing,0,403.55844343253034
TXN_2,CUST_15,-422.3592240112187,2024-01-01 02:00:00,Food,0,422.3592240112187
TXN_3,CUST_72,328.87127625295864,2024-01-01 03:00:00,Food,0,328.87127625295864
TXN_4,CUST_61,-151.1099249581764,2024-01-01 04:00:00,Electronics,0,151.1099249581764
TXN_5,CUST_21,21.59939601135818,2024-01-01 05:00:00,Clothing,0,21.59939601135818
TXN_6,CUST_83,294.48563364849065,2024-01-01 06:00:00,Electronics,0,294.48563364849065
TXN_7,CUST_87,384.3765470229713,2024-01-01 07:00:00,Electronics,0,384.3765470229713
TXN_8,CUST_75,-155.218579927353,2024-01-01 08:00:00,Clothing,0,155.218579927353
TXN_9,CUST_75,-38.15651872488968,2024-01-01 09:00:00,Electronics,0,38.15651872488968
TXN_10,CUST_88,-85.48393518320773,2024-01-01 10:00:00,Clothing,0,85.48393518320773
TXN_11,CUST_100,-486.74896649608945,2024-01-01 11:00:00,Clothing,0,486.74896649608945
TXN_12,CUST_24,-204.0571111413434,2024-01-01 12:00:00,Electronics,0,204.0571111413434
TXN_13,CUST_3,-40.81076626743817,2024-01-01 13:00:00,Electronics,0,40.81076626743817
TXN_14,CUST_22,-88.90639111956023,2024-01-01 14:00:00,Food,0,88.90639111956023
TXN_15,CUST_53,221.9292275156795,2024-01-01 15:00:00,Electronics,0,221.9292275156795
TXN_16,CUST_2,-115.19638277889675,2024-01-01 16:00:00,Clothing,0,115.19638277889675
TXN_17,CUST_88,-10.623551029329747,2024-01-01 17:00:00,Food,0,10.623551029329747
TXN_18,CUST_30,-70.39140786763664,2024-01-01 18:00:00,Clothing,0,70.39140786763664
TXN_19,CUST_38,240.62614889437054,2024-01-01 19:00:00,Food,0,240.62614889437054
TXN_20,CUST_2,362.9723989869625,2024-01-01 20:00:00,Electronics,0,362.9723989869625
TXN_21,CUST_64,31.88907900751417,2024-01-01 21:00:00,Electronics,0,31.88907900751417
TXN_22,CUST_60,289.4321941951912,2024-01-01 22:00:00,Electronics,0,289.4321941951912
TXN_23,CUST_21,-203.21331798014938,2024-01-01 23:00:00,Clothing,0,203.21331798014938
